epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5857,1.44395,2.58653,1.41718,0.24785,0.37774,0.23103,0.12664,1.78465,3.84685,1.80515,0.0804829,0.000197143,0.000197143
2,97.58,1.31954,1.6874,1.36901,0.49013,0.46162,0.44374,0.28998,1.4107,2.72711,1.46927,0.0606828,0.000397046,0.000397046
3,147.179,1.26881,1.46139,1.30152,0.82412,0.56798,0.67329,0.44271,1.43744,1.96205,1.4668,0.0408823,0.00059656,0.00059656
4,209.578,1.30541,1.51977,1.32963,0.60939,0.61259,0.60845,0.35777,1.38133,1.85826,1.46145,0.0210811,0.000795392,0.000795392
5,260.375,1.31644,1.46742,1.33606,0.67919,0.68366,0.65222,0.41235,1.4817,2.31282,1.46774,0.00127897,0.000993251,0.000993251
6,327.506,1.28124,1.42099,1.31917,0.80865,0.62939,0.68429,0.44315,1.37425,1.81915,1.41534,0.000993906,0.000993906,0.000993906
7,373.632,1.25992,1.35688,1.29941,0.76645,0.69298,0.7121,0.46766,1.26221,1.59495,1.315,0.000991232,0.000991232,0.000991232
8,429.016,1.22656,1.36537,1.27909,0.80823,0.6557,0.72976,0.45253,1.38991,1.69885,1.40402,0.000988079,0.000988079,0.000988079
9,473.797,1.23147,1.33237,1.29025,0.80687,0.74671,0.78359,0.54682,1.31499,1.67165,1.3573,0.000984449,0.000984449,0.000984449
10,515.607,1.19121,1.26244,1.25005,0.84168,0.68463,0.77428,0.53369,1.29455,1.53585,1.35458,0.000980345,0.000980345,0.000980345
11,557.332,1.19314,1.22366,1.27025,0.874,0.69531,0.78522,0.54888,1.23688,1.45127,1.34027,0.000975773,0.000975773,0.000975773
12,599.805,1.20435,1.23782,1.26165,0.82197,0.72508,0.77412,0.55554,1.2808,1.49189,1.35472,0.000970736,0.000970736,0.000970736
13,641.08,1.1701,1.17694,1.24955,0.82795,0.71114,0.7462,0.49209,1.26901,1.48822,1.37484,0.000965239,0.000965239,0.000965239
14,682.159,1.16849,1.20829,1.24953,0.78497,0.66886,0.7381,0.47228,1.25296,1.63831,1.3339,0.000959289,0.000959289,0.000959289
15,725.323,1.15101,1.18452,1.24127,0.89285,0.7043,0.76857,0.53326,1.25989,1.49758,1.36622,0.000952889,0.000952889,0.000952889
16,776.381,1.13904,1.12874,1.23043,0.8693,0.73055,0.79011,0.55146,1.23496,1.45071,1.2926,0.000946048,0.000946048,0.000946048
17,818.102,1.1159,1.10285,1.21361,0.88961,0.71519,0.80367,0.55294,1.14475,1.37797,1.23346,0.000938772,0.000938772,0.000938772
18,860.318,1.13994,1.12682,1.24508,0.89889,0.69518,0.7616,0.48387,1.26304,1.51064,1.3419,0.000931067,0.000931067,0.000931067
19,902.201,1.14177,1.14896,1.22941,0.85801,0.74616,0.78583,0.52993,1.22871,1.39875,1.34979,0.000922942,0.000922942,0.000922942
20,952.193,1.10362,1.0905,1.22364,0.79303,0.78023,0.80087,0.5729,1.17341,1.28597,1.29951,0.000914405,0.000914405,0.000914405
21,994.059,1.13075,1.12402,1.2307,0.82841,0.76809,0.79171,0.52744,1.22215,1.38147,1.34889,0.000905463,0.000905463,0.000905463
22,1035.71,1.08475,1.06396,1.18792,0.82843,0.73505,0.80238,0.55193,1.1481,1.37851,1.28303,0.000896127,0.000896127,0.000896127
23,1077.65,1.06985,1.00461,1.19103,0.83374,0.73595,0.78889,0.56242,1.13947,1.29858,1.29273,0.000886404,0.000886404,0.000886404
24,1127.21,1.06583,1.03685,1.19646,0.82211,0.7197,0.78164,0.56208,1.22937,1.42138,1.34145,0.000876305,0.000876305,0.000876305
25,1168.69,1.09158,1.08523,1.20032,0.87285,0.67096,0.78717,0.54857,1.20467,1.41365,1.32551,0.000865839,0.000865839,0.000865839
26,1210.22,1.07017,1.02688,1.17371,0.84079,0.68874,0.75923,0.55129,1.14792,1.36312,1.29425,0.000855018,0.000855018,0.000855018
27,1251.84,1.06026,1.01845,1.19012,0.86011,0.74452,0.79578,0.58724,1.20069,1.38102,1.33496,0.000843851,0.000843851,0.000843851
28,1301.7,1.01366,0.96753,1.1621,0.82231,0.77298,0.77864,0.54171,1.13546,1.54025,1.29929,0.000832349,0.000832349,0.000832349
29,1343.44,1.0142,0.98343,1.16888,0.75228,0.75877,0.76666,0.53797,1.16393,1.34479,1.30307,0.000820525,0.000820525,0.000820525
30,1385.15,1.0306,0.98124,1.16345,0.77015,0.71375,0.77569,0.5615,1.19099,1.51383,1.34282,0.000808389,0.000808389,0.000808389
31,1426.92,1.02768,0.96,1.18022,0.86571,0.76515,0.81714,0.5657,1.20737,1.32793,1.36425,0.000795954,0.000795954,0.000795954
32,1476.55,0.9745,0.9299,1.13464,0.90385,0.76713,0.82028,0.58223,1.16281,1.30128,1.32165,0.000783231,0.000783231,0.000783231
33,1518.2,1.00783,0.91145,1.15402,0.85692,0.73987,0.82138,0.5931,1.14722,1.32334,1.29807,0.000770234,0.000770234,0.000770234
34,1559.88,0.98848,0.92502,1.1336,0.90761,0.79074,0.80875,0.59085,1.15344,1.32468,1.30579,0.000756976,0.000756976,0.000756976
35,1601.6,1.00082,0.90178,1.15532,0.90015,0.73743,0.81705,0.57636,1.10465,1.20287,1.25104,0.000743468,0.000743468,0.000743468
36,1651.15,0.96672,0.90202,1.13361,0.88582,0.78838,0.82528,0.57842,1.14584,1.30153,1.27895,0.000729725,0.000729725,0.000729725
37,1692.69,0.95763,0.88576,1.1316,0.89645,0.74068,0.81505,0.57826,1.12431,1.1796,1.28753,0.000715761,0.000715761,0.000715761
38,1734.33,1.00436,0.9247,1.15865,0.90417,0.77427,0.82002,0.5932,1.1358,1.32895,1.27859,0.000701588,0.000701588,0.000701588
39,1776.24,1.01967,0.92906,1.17291,0.87084,0.80702,0.82613,0.58156,1.10892,1.21897,1.27649,0.000687222,0.000687222,0.000687222
40,1825.63,0.94897,0.88024,1.1296,0.80517,0.8221,0.82048,0.58854,1.09047,1.18767,1.25428,0.000672675,0.000672675,0.000672675
41,1867.47,0.9818,0.89215,1.15389,0.93905,0.76809,0.82927,0.62357,1.10132,1.20533,1.27311,0.000657963,0.000657963,0.000657963
42,1909.16,0.96139,0.90684,1.14496,0.8552,0.8173,0.82268,0.60794,1.09616,1.16748,1.2793,0.000643101,0.000643101,0.000643101
43,1950.81,0.93457,0.83769,1.11223,0.82999,0.81031,0.81077,0.57494,1.07836,1.10865,1.27871,0.000628101,0.000628101,0.000628101
44,1992.77,0.97147,0.88971,1.15109,0.81232,0.78125,0.77576,0.551,1.10907,1.22702,1.30051,0.000612981,0.000612981,0.000612981
45,2034.79,0.91407,0.81412,1.10127,0.87006,0.74726,0.78706,0.54502,1.14413,1.28909,1.32451,0.000597754,0.000597754,0.000597754
46,2076.64,0.91672,0.82014,1.13221,0.8293,0.7423,0.79933,0.56366,1.11318,1.25541,1.28336,0.000582435,0.000582435,0.000582435
47,2118.76,0.94164,0.83979,1.12657,0.80929,0.77617,0.79228,0.5594,1.10237,1.31482,1.28238,0.00056704,0.00056704,0.00056704
48,2162.97,0.94878,0.85445,1.12976,0.91664,0.75026,0.81446,0.58843,1.09127,1.24502,1.25997,0.000551584,0.000551584,0.000551584
49,2204.9,0.91809,0.82919,1.12055,0.89567,0.80387,0.84029,0.62071,1.07095,1.13694,1.25725,0.000536081,0.000536081,0.000536081
50,2246.38,0.93175,0.80763,1.13831,0.87039,0.81031,0.83117,0.60731,1.06253,1.15596,1.26857,0.000520548,0.000520548,0.000520548
51,2287.82,0.91104,0.80642,1.12534,0.87241,0.80407,0.83286,0.61248,1.07342,1.19175,1.26155,0.000505,0.000505,0.000505
52,2337.65,0.91305,0.80969,1.113,0.87973,0.76276,0.8016,0.60394,1.05246,1.16216,1.24931,0.000489452,0.000489452,0.000489452
53,2378.96,0.89189,0.78726,1.1045,0.89638,0.77179,0.80949,0.58172,1.08749,1.1405,1.26155,0.000473919,0.000473919,0.000473919
54,2420.57,0.8835,0.75551,1.08345,0.90985,0.77796,0.83227,0.59802,1.0727,1.14053,1.26772,0.000458416,0.000458416,0.000458416
55,2462.29,0.90628,0.81286,1.11511,0.87314,0.79228,0.81486,0.60184,1.09728,1.18968,1.27857,0.00044296,0.00044296,0.00044296
56,2512.47,0.88098,0.76484,1.11028,0.85843,0.78125,0.80532,0.57203,1.05667,1.11879,1.27076,0.000427565,0.000427565,0.000427565
57,2553.74,0.86982,0.74745,1.09148,0.87646,0.79597,0.80958,0.60203,1.03271,1.15376,1.24726,0.000412246,0.000412246,0.000412246
58,2595.43,0.87099,0.76456,1.10436,0.89573,0.80044,0.82333,0.59694,1.04126,1.10366,1.25075,0.000397019,0.000397019,0.000397019
59,2636.97,0.84988,0.74015,1.07335,0.89717,0.78308,0.8071,0.61119,1.08986,1.18093,1.26979,0.000381899,0.000381899,0.000381899
60,2686.69,0.85271,0.72529,1.08202,0.86002,0.79086,0.79693,0.58857,1.09576,1.14939,1.29391,0.000366899,0.000366899,0.000366899
